iter	MultiClass	TotalF1	Accuracy
0	1.06708697	0.5281355338	0.5257090736
1	1.042551777	0.5330062986	0.5324380399
2	1.022169194	0.5405249313	0.5458558502
3	1.00607159	0.5431437144	0.5474045734
4	0.9926529342	0.5434502693	0.5491432092
5	0.98137596	0.5437841913	0.5506464604
6	0.9723981494	0.5475342314	0.5559943258
7	0.9647961235	0.5482673705	0.5562769656
8	0.9587321212	0.5492867324	0.55676735
9	0.953636144	0.5494012935	0.5578060735
10	0.9495086947	0.5493631807	0.5573005317
11	0.9456969539	0.5508627321	0.5584640802
12	0.942611934	0.5505196613	0.5588760032
13	0.93996327	0.5509824543	0.5589892374
14	0.9374912243	0.5514753983	0.5593209156
15	0.9355522634	0.5517352197	0.5595349016
16	0.9338656145	0.5519279746	0.5600440098
17	0.9325352469	0.5522759971	0.5608063347
18	0.9312919098	0.5523432192	0.5607813697
19	0.9303368325	0.5523003421	0.5609846563
20	0.9294010341	0.5524220576	0.5610542017
21	0.9286254317	0.5527727642	0.5612423311
22	0.9279688402	0.5529366684	0.5612075583
23	0.9272371035	0.5529914743	0.5612244989
24	0.9266791262	0.5528864818	0.5613457576
25	0.9262425511	0.5529648393	0.5614982226
26	0.9258404025	0.5533057026	0.5614616666
27	0.9253833101	0.5541997665	0.5621232399
28	0.9250098957	0.5543551427	0.5622498482
29	0.924722692	0.5544833341	0.562359516
30	0.9245200146	0.5545729123	0.5623541664
31	0.9242805187	0.5545739224	0.56240053
32	0.9240709198	0.5546218219	0.5625110894
33	0.9238561014	0.55498491	0.5627518236
34	0.9236745491	0.5551273704	0.5628454424
35	0.9234667092	0.5557662331	0.5630576451
36	0.9233321298	0.5558342581	0.5632341835
37	0.9232083527	0.5557620687	0.5632190262
38	0.9230873821	0.5557530407	0.5632564737
39	0.9229643801	0.5559360937	0.5633572255
40	0.9228391323	0.5558079596	0.5632939213
41	0.9227432732	0.5559125066	0.5633402849
42	0.9226455884	0.5559648769	0.5633429597
43	0.922558973	0.5559577877	0.5633456346
44	0.9224622548	0.5562574446	0.5634579772
45	0.9223881195	0.5562086182	0.5634107219
46	0.9223418548	0.5564046923	0.5635373303
47	0.9222319679	0.5564354342	0.5635489212
48	0.9221397699	0.5563778989	0.5636006345
49	0.9220880699	0.556412778	0.5636238163
50	0.921991399	0.5564542588	0.5636862288
51	0.921933192	0.5565017265	0.5636942533
52	0.9218725067	0.556490772	0.5637379421
53	0.9218188062	0.5565278748	0.563729026
54	0.9217907222	0.5565226723	0.5637254596
55	0.9217675874	0.5565226286	0.5637254596
56	0.9217178374	0.5566232045	0.5637985715
57	0.9216782525	0.5565805673	0.5637780645
58	0.9216526265	0.5566404711	0.5638030295
59	0.921604606	0.5567384442	0.5638761414
60	0.9215770161	0.5567153375	0.5638761414
61	0.921537944	0.5566910748	0.5638467183
62	0.9215058171	0.5567579004	0.5639109141
63	0.9214665067	0.5567763388	0.5639233966
64	0.9214398798	0.556807538	0.5639367707
65	0.9214097939	0.5568268047	0.5639465784
66	0.9213879576	0.5568549763	0.5639447952
67	0.9213626149	0.5568671809	0.5639492532
68	0.9213153567	0.556927534	0.5640214735
69	0.9212719251	0.5569776957	0.5640500049
70	0.9212402812	0.5569682156	0.5640642707
71	0.9212108058	0.5569379214	0.5640910189
72	0.921198876	0.5569346076	0.5640883441
73	0.9211758993	0.5569517858	0.5640990434
74	0.9211635857	0.5569563877	0.5640981518
75	0.9211451622	0.5569727071	0.5640936937
76	0.921120177	0.5570010058	0.5641079595
77	0.9211099384	0.5570046714	0.5641133091
78	0.9210888434	0.5570018849	0.564104393
79	0.9210569809	0.5569310743	0.5640776448
80	0.9210321514	0.5570333888	0.5641400574
81	0.9209996818	0.5569972609	0.5641213336
82	0.920980245	0.5569908608	0.5641150923
83	0.9209601328	0.5570340731	0.5641605644
84	0.9209415071	0.5570715461	0.564190879
85	0.920927351	0.5570702611	0.5641668056
86	0.9209100406	0.5571324093	0.5641810713
87	0.9208870714	0.5570583434	0.564165914
88	0.9208736493	0.557044428	0.5641676972
89	0.9208625999	0.5570659773	0.5641748301
90	0.9208485186	0.5570845565	0.564227435
91	0.9208396483	0.5571171722	0.5642515084
92	0.9208249407	0.5571476026	0.5642639909
93	0.9207861558	0.5571768138	0.564272907
94	0.9207817688	0.5571642117	0.5642559664
95	0.9207683712	0.557174676	0.5642648825
96	0.9207338633	0.5572018527	0.5642746902
97	0.9207168481	0.5572240369	0.5642871727
98	0.9207142989	0.5572418583	0.5642960888
99	0.9206949575	0.5572917511	0.5643264035
100	0.920670772	0.5573238617	0.564363851
101	0.9206575445	0.5573004204	0.5643264035
102	0.9206435722	0.5573200874	0.564338886
103	0.9206166765	0.5572904755	0.5643585013
104	0.9206072394	0.5573252095	0.5643905992
105	0.9206028443	0.5573079176	0.5643674174
106	0.9205927473	0.5573781995	0.5644030818
107	0.9205818548	0.5573674656	0.5644004069
108	0.9205733577	0.5573899998	0.5644218055
109	0.9205698668	0.5573954951	0.5644218055
110	0.9205563526	0.5573795859	0.5644066482
111	0.9205484703	0.5573943461	0.5644173475
112	0.9205334946	0.5573951474	0.5644155643
113	0.920528062	0.5574015284	0.5644271552
114	0.9205229059	0.5574271288	0.5644325048
115	0.9205055755	0.5574360984	0.5644084314
116	0.9204951952	0.5574422061	0.5644066482
117	0.9204877276	0.5574224585	0.5643950573
118	0.9204782341	0.5574471974	0.5643968405
119	0.9204669841	0.5574781108	0.5644102146
120	0.9204479239	0.5575218343	0.5644378545
121	0.9204291402	0.557538658	0.5644565782
122	0.9204142966	0.5575657461	0.5644851097
123	0.9204041183	0.5575061085	0.5644699524
124	0.9203929028	0.5575322984	0.5644735188
125	0.920380958	0.5575373423	0.5644975922
126	0.9203693072	0.5575825246	0.5645350398
127	0.9203608765	0.5576069408	0.5645377146
128	0.9203468224	0.557597423	0.5645591132
129	0.9203326643	0.5576485789	0.5645956691
130	0.9203260094	0.5576670096	0.5646063684
131	0.9203192042	0.5576859119	0.5646099348
132	0.9203025726	0.5577015899	0.5646126097
133	0.9202816752	0.5577081702	0.56460726
134	0.9202674466	0.5577264794	0.5646152845
135	0.9202557102	0.557783347	0.5646714558
136	0.9202418105	0.5578206435	0.5647106865
137	0.9202369647	0.5578186824	0.5647044453
138	0.9202313973	0.5579360554	0.5647713159
139	0.920223249	0.5579624717	0.56478469
140	0.9202105838	0.5579827456	0.5647882565
