iter	Passed	Remaining
0	677	676456
1	1329	663517
2	1956	650333
3	2521	627919
4	3090	614942
5	3727	617478
6	4333	614765
7	5002	620282
8	5668	624205
9	6330	626726
10	6964	626191
11	7572	623461
12	8170	620313
13	8761	617074
14	9351	614077
15	9903	609039
16	10578	611703
17	11155	608606
18	11698	603989
19	12257	600614
20	12832	598258
21	13391	595308
22	13954	592764
23	14502	589761
24	15106	589135
25	15683	587511
26	16288	587007
27	16899	586669
28	17464	584775
29	17997	581929
30	18487	577883
31	19077	577087
32	19675	576553
33	20193	573729
34	20819	574021
35	21433	573948
36	21957	571493
37	22587	571812
38	23186	571329
39	23791	571006
40	24330	569095
41	24798	565652
42	25369	564629
43	25889	562515
44	26663	565869
45	27318	566556
46	27885	565428
47	28431	563884
48	28992	562695
49	29509	560672
50	30112	560327
51	30690	559502
52	31168	556910
53	31670	554828
54	32163	552630
55	32493	547739
56	33032	546490
57	33453	543336
58	33919	540985
59	34435	539495
60	35028	539210
61	36190	547526
62	37060	551208
63	37754	552166
64	38640	555828
65	39718	562070
66	40379	562295
67	40975	561599
68	41901	565371
69	42568	565546
70	43060	563426
71	43686	563076
72	44197	561244
73	44814	560783
74	45428	560279
75	46094	560409
76	46695	559739
77	47206	557999
78	47811	557396
79	48418	556812
80	48958	555465
81	49493	554083
82	49958	551947
83	50446	550106
84	51034	549374
85	51502	547360
86	51992	545626
87	52539	544502
88	53015	542663
89	53606	542020
90	54582	545229
91	55347	546251
92	56241	548501
93	56808	547532
94	57311	545965
95	58055	546691
96	58800	547387
97	59282	545638
98	59908	545229
99	60697	546274
100	61369	546250
101	61776	543879
102	62272	542314
103	62799	541045
104	63308	539627
105	63823	538286
106	64299	536629
107	64917	536173
108	65463	535115
109	65950	533602
110	66441	532131
111	66981	531071
112	67554	530270
113	68094	529223
114	68567	527670
115	69106	526636
116	69612	525363
117	70010	523301
118	70476	521762
119	71033	520913
120	71566	519891
121	72178	519447
122	72763	518809
123	73394	518500
124	74011	518080
125	74584	517358
126	75082	516118
127	75616	515137
128	76119	513953
129	76675	513136
